maker,model,mileage,manufacture_year,engine_displacement,engine_power,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,views,ratings,price_eur
opel,omega,172000,1997,2498,125,auto,4,5,gasoline,2015-12-30 13:42:18.462253+00,2016-02-28 13:45:07.695055+00,75,5,1999.59
opel,insignia,100000,2012,1956,143,auto,4,5,diesel,2015-12-30 14:13:16.713157+00,2016-01-27 05:56:30.371984+00,296,2,12440.67
jaguar,xf,132890,2008,2720,152,auto,4,5,diesel,2015-12-30 14:14:05.059365+00,2016-01-20 23:20:48.68152+00,294,7,12600.74
ford,galaxy,228000,2011,1998,120,auto,4,7,diesel,2015-12-30 14:16:37.051304+00,2016-01-06 00:37:23.472528+00,114,3,10703.18
skoda,superb,231168,2012,1598,77,man,4,5,diesel,2015-12-30 14:18:33.705953+00,2016-02-11 14:26:01.260684+00,87,10,7647.26
mitsubishi,asx,130250,2011,1798,110,man,4,5,diesel,2015-12-30 14:21:03.642761+00,2016-01-23 13:57:22.676767+00,113,5,10843.23
toyota,avensis,167000,2000,1995,81,man,4,5,diesel,2015-12-30 15:16:28.310376+00,2016-02-28 15:30:04.723236+00,203,0,1813.47
bmw,x1,82000,2010,1995,110,auto,4,5,gasoline,2015-12-30 15:55:22.345895+00,2016-02-28 16:00:06.039286+00,223,1,16985.01
ford,focus,19000,2014,998,74,man,4,5,gasoline,2015-12-30 16:03:17.27212+00,2016-01-18 01:50:43.20054+00,256,0,13483.97
ford,c-max,201000,2006,1753,85,man,5,5,diesel,2015-12-30 16:16:29.871682+00,2016-02-28 16:30:08.559709+00,102,6,4034.05
ford,transit,244712,2003,1998,92,man,4,2,diesel,2015-12-30 16:58:48.969233+00,2016-02-11 16:08:05.700722+00,75,2,2750.81
opel,insignia,91500,2009,1796,103,man,4,5,gasoline,2015-12-30 18:08:53.723745+00,2016-02-28 18:15:00.810585+00,242,7,10303.03
hyundai,ix35,38131,2012,1591,99,man,4,5,gasoline,2015-12-30 18:15:05.426529+00,2016-01-18 06:31:08.15449+00,299,2,13489.01
fiat,panda,12620,2014,1248,70,man,4,5,diesel,2015-12-30 18:39:04.044675+00,2016-01-21 06:55:25.718407+00,191,6,10012.95
audi,a6,193000,1997,2393,121,man,4,5,gasoline,2015-12-30 18:41:21.190309+00,2016-01-07 06:52:29.873224+00,196,9,1750.52
opel,zafira,119000,2008,1910,88,man,4,7,diesel,2015-12-30 18:41:32.122441+00,2016-01-02 23:39:03.585441+00,275,6,6952.07
jeep,cherokee,130000,2005,2776,120,auto,4,5,diesel,2015-12-30 19:08:32.437327+00,2016-01-18 08:01:37.879793+00,280,3,8001.67
skoda,yeti,70200,2011,1598,77,man,4,5,diesel,2015-12-30 19:45:47.472745+00,2016-02-28 20:00:08.029701+00,104,9,14995
